tps,epcount,best_ext_ret,n_updates,retstd,idn_loss,rew_mean_ext,advstd,ups,rew_std_int,vfn_loss,tcount,nsn_loss,vpredstd,advmean,rew_mean_int,metricmean,total_secs,eprew,rew_std_ext,idn_pg_loss,metricstd,metric,eprew_recent,eplen,retmean,vpredmean
10224.895360076182,12500.0,1.0,396,0.28911933,-0.002079817893293997,0.0703125,0.014814401,19.970498750148792,0.50301677,0.00010056071975365437,203944.0,0.3692552298307419,0.28928626,0.0017265386,0.37060216,0.37060216,18.68383502960205,0.97,0.25567293,-0.001754697160019229,0.50301677,0.0,0.972972972972973,13.87,7.472337,7.4706097
10337.611129564108,12535.0,1.0,397,0.28958637,0.0015255558707091645,0.07421875,0.011727213,20.190646737429898,0.50474906,5.831312546433764e-05,204424.0,0.34092235565185547,0.28788063,-0.0018651657,0.34305266,0.34305266,18.733362913131714,0.97,0.26212654,0.0018321431634831242,0.50474906,0.0,0.9428571428571428,13.89,7.476571,7.4784355
10383.295932231253,12572.0,1.0,398,0.2884213,0.0009830348571995273,0.06640625,0.007999147,20.279874867639165,0.56901777,3.0625953816828165e-05,204936.0,0.3621995051701864,0.2896747,-0.0013027615,0.3643114,0.3643114,18.782672882080078,0.96,0.24899088,0.0012934593202468627,0.56901777,0.0,0.9459459459459459,13.86,7.465315,7.466617
10677.517367567943,12608.0,1.0,399,0.28386,0.0010349248186685145,0.06640625,0.012266138,20.85452610853114,0.5675534,7.090945427989935e-05,205444.0,0.3633612444003423,0.28191158,-0.001348466,0.36805004,0.36805004,18.830624103546143,0.97,0.24899088,0.0013405561257968655,0.5675534,0.0,0.9722222222222222,14.01,7.4729342,7.4742823
10646.761069493265,12644.0,1.0,400,0.28506267,-0.002257198517327197,0.068359375,0.0083169555,20.794455213854032,0.49649668,2.609267176012509e-05,205951.0,0.3481608082850774,0.28535455,0.0019245872,0.34917274,0.34917274,18.878713846206665,0.98,0.2523616,-0.0019299489261660103,0.49649668,0.0,0.9722222222222222,14.08,7.4836745,7.4817505
10657.539977865896,12685.0,1.0,401,0.29247737,0.0007591638786834665,0.072265625,0.007309702,20.815507769269328,0.48707572,1.9074551422211997e-05,206508.0,0.3354366024335226,0.29313457,-0.0010579866,0.33932665,0.33932665,18.92675495147705,0.96,0.25892723,0.0010606313953758217,0.48707572,0.0,0.926829268292683,13.87,7.471775,7.4728336
10847.246611945953,12721.0,1.0,402,0.29193512,0.0015640886437419492,0.07421875,0.008269723,21.18602853895694,0.51249087,3.391433703351746e-05,207009.0,0.35469205677509313,0.29211253,-0.001878932,0.35537666,0.35537666,18.973955869674683,0.96,0.26212654,0.001873063160625558,0.51249087,0.0,0.9722222222222222,13.8,7.472814,7.474693
10914.284215715672,12758.0,1.0,403,0.2852462,-0.0002920821765049671,0.064453125,0.0068176957,21.316961358819672,0.46321166,3.3841282098971234e-05,207521.0,0.32174048821131385,0.28535715,3.2630924e-06,0.3240108,0.3240108,19.020866870880127,0.98,0.24555838,9.17552824831043e-08,0.46321166,0.0,0.972972972972973,13.95,7.462491,7.4624877
10834.331333780669,12794.0,1.0,404,0.28519034,-0.00016884469490226667,0.068359375,0.015064561,21.160803386290368,0.4877478,9.352491141119874e-05,208019.0,0.3597214023272196,0.2846242,-0.00018607496,0.36031353,0.36031353,19.068124055862427,0.98,0.2523616,0.00015727718831233997,0.4877478,0.0,0.9722222222222222,13.93,7.4769745,7.47716
10758.774407198289,12829.0,1.0,405,0.2903579,0.0007756136813744281,0.072265625,0.0073507545,21.013231264059158,0.64313596,2.3850185016272004e-05,208509.0,0.3539360041419665,0.29107454,-0.0010809394,0.35699108,0.35699108,19.115713119506836,0.98,0.25892723,0.0010517660612094915,0.64313596,0.0,0.9714285714285714,13.95,7.4873457,7.488427
10811.313568238913,12870.0,1.0,406,0.29868653,0.003276404898012212,0.06640625,0.038407013,21.115846812966627,0.8294679,0.0007190553972880782,209064.0,0.40512720743815106,0.29181784,-0.0037056874,0.40843076,0.40843076,19.163070917129517,0.96,0.24899088,0.0035866725471957275,0.8294679,0.0,0.926829268292683,13.82,7.4534874,7.4571934
10848.12333867114,12910.0,1.0,407,0.29183766,-0.0007894066596539535,0.07421875,0.012423511,21.18774089584207,0.58095425,6.983328573066198e-05,209604.0,0.35464131335417426,0.29443425,0.00048358156,0.35836026,0.35836026,19.210268020629883,0.94,0.26212654,-0.0004950666807417292,0.58095425,0.0,0.925,13.64,7.4665847,7.4661007
