advstd_NSN,best_ext_ret,ext_reward,total_secs,tps,rew_mean_IDN,retstd_NSN,vpredmean_NSN,retstd_IDN,loss,retmean_NSN,advstd_IDN,vpredstd_NSN,vfn_loss,eplen,ups,metric,idn_pg_loss,retmean_IDN,n_updates,eprew_recent,ext_reward_std,rew_mean_NSN,vpredstd_IDN,tcount,eprew,advmean_NSN,advmean_IDN,vpredmean_IDN,epcount
0.00016127672,1.0,0.125,75.26042413711548,9686.133717022918,-0.030228019,0.27434754,16.629372,0.011117747,-1.0793484837752963e-05,16.629116,0.0023143233,0.2744135,1.140988013048627e-05,5.68,18.918229916060387,0.03022801876068115,-1.9868214925130207e-08,-3.081769,1416,0.6666666666666666,0.33071890473365784,0.125,0.01113345,753546.0,0.68,-0.00025411564,0.006220866,-3.08799,121831.0
0.0001590675,1.0,0.125,75.31337308883667,9669.69096377947,-0.030146688,0.2743472,16.62931,0.011040197,-1.0356262767648635e-05,16.629063,0.0023090325,0.2744139,1.1359958364209888e-05,5.68,18.88611516363178,0.030146688222885132,2.9802322387695312e-08,-3.0744367,1417,0.6666666666666666,0.33071890473365784,0.125,0.011050591,754090.0,0.68,-0.00024687935,0.006202994,-3.0806396,121927.0
0.00015725137,1.0,0.125,75.36593914031982,9740.126670234671,-0.030066643,0.2743474,16.629227,0.010963003,-1.0601362949576771e-05,16.628977,0.0023019118,0.2744111,1.1304869625898087e-05,5.68,19.023684902802092,0.030066642910242084,-1.1548399925231935e-07,-3.067167,1418,0.6666666666666666,0.33071890473365784,0.125,0.0109675955,754634.0,0.68,-0.00024954512,0.0061815036,-3.0733485,122023.0
0.00015249355,1.0,0.125,75.41870594024658,9703.07088378818,-0.029987482,0.2743468,16.629118,0.010886229,-1.154485865602813e-05,16.628881,0.00229382,0.27441102,1.1230027761636544e-05,5.68,18.951310319898788,0.029987482354044914,9.934107462565103e-08,-3.0599675,1419,0.6666666666666666,0.33071890473365784,0.125,0.010886832,755178.0,0.68,-0.00023679246,0.006159352,-3.0661268,122119.0
0.00014907242,1.0,0.125,75.47153210639954,9692.166539542986,-0.02990897,0.27434692,16.62899,0.010809775,-1.0741078085629853e-05,16.628757,0.002285816,0.27440798,1.115710248692873e-05,5.68,18.930012772544895,0.029908969998359677,7.947285970052084e-08,-3.0528336,1420,0.6666666666666666,0.33071890473365784,0.125,0.010807107,755722.0,0.68,-0.00023042472,0.0061372044,-3.0589707,122215.0
0.00014576822,1.0,0.125,75.52439713478088,9685.041617808887,-0.029831696,0.2743468,16.628841,0.010733526,-1.1285931577731388e-05,16.628614,0.0022755482,0.27440637,1.1069410390973642e-05,5.68,18.916096909782983,0.029831696301698685,-8.319814999898273e-08,-3.045771,1421,0.6666666666666666,0.33071890473365784,0.125,0.010726751,756266.0,0.68,-0.00022517366,0.006107647,-3.051879,122311.0
0.000140568,1.0,0.125,75.57733726501465,9671.302237814516,-0.029755438,0.27434614,16.628666,0.010657558,-1.19182863424309e-05,16.628454,0.0022643313,0.2744053,1.0965289182725732e-05,5.68,18.889262183231477,0.02975543774664402,-1.6701718171437577e-07,-3.0387855,1422,0.6666666666666666,0.33071890473365784,0.125,0.010648161,756810.0,0.68,-0.00021299007,0.0060783657,-3.0448635,122407.0
0.00013464934,1.0,0.125,75.63027715682983,9671.345793214019,-0.029680274,0.27434587,16.628475,0.010581599,-1.1706949787064028e-05,16.628277,0.0022514854,0.27440223,1.084941527551564e-05,5.68,18.88934725237113,0.029680274426937103,-2.9802322387695312e-08,-3.0318785,1423,0.6666666666666666,0.33071890473365784,0.125,0.010568228,757354.0,0.68,-0.00020013703,0.0060450924,-3.0379233,122503.0
0.00012935136,1.0,0.125,75.68322324752808,9670.213480312692,-0.029608583,0.2743455,16.628273,0.010502325,-1.1861978615949436e-05,16.628086,0.0022278784,0.27440128,1.0681349844314049e-05,5.68,18.887135703735726,0.029608583077788356,-1.3845662275950113e-07,-3.025066,1424,0.6666666666666666,0.33071890473365784,0.125,0.010490106,757898.0,0.68,-0.00018834707,0.0059957313,-3.0310616,122599.0
0.00012362462,1.0,0.125,75.73614692687988,9674.308481020642,-0.029547289,0.27434447,16.628054,0.010410815,-1.2824008384389648e-05,16.62788,0.002165055,0.27439898,1.0275134798121146e-05,5.68,18.89513375199344,0.029547289013862613,8.443991343180338e-08,-3.0184157,1425,0.6666666666666666,0.33071890473365784,0.125,0.01041193,758442.0,0.68,-0.00017265041,0.005879739,-3.0242958,122695.0
0.000115185176,1.0,0.125,75.78916096687317,9657.818948807548,-0.02949297,0.27434385,16.627823,0.010312943,-1.1712117535959502e-05,16.627674,0.0020812096,0.27439538,9.706639427046563e-06,5.68,18.86292763438974,0.029492970556020733,-3.029902776082357e-07,-3.011962,1426,0.6666666666666666,0.33071890473365784,0.125,0.01033198,758986.0,0.68,-0.00014979861,0.0057222308,-3.017684,122791.0
0.0001098333,1.0,0.125,75.84177613258362,9731.034637762592,-0.029446492,0.27434358,16.627588,0.010209568,-1.1982373507635202e-05,16.627455,0.0019755554,0.27439326,8.983976423830125e-06,5.68,19.005927026880062,0.029446491971611977,-7.015963395436604e-08,-3.005769,1427,0.6666666666666666,0.33071890473365784,0.125,0.010248753,759530.0,0.68,-0.00013306778,0.0055078086,-3.0112765,122887.0
0.00010429053,1.0,0.125,75.89463305473328,9686.52693303503,-0.02941779,0.27434295,16.62735,0.010089301,-1.1803592997239319e-05,16.62723,0.0018103978,0.27438995,7.942737511257292e-06,5.68,18.91899791608404,0.029417790472507473,-7.264316082000732e-08,-2.9999475,1428,0.6666666666666666,0.33071890473365784,0.125,0.010164128,760074.0,0.68,-0.00012015652,0.0051827054,-3.0051303,122983.0
9.8414086e-05,1.0,0.125,75.94763231277466,9660.512598124114,-0.02939925,0.2743425,16.627106,0.009966472,-1.09760270940266e-05,16.627007,0.0016236563,0.27438584,6.755812478331791e-06,5.68,18.86818866821116,0.02939924970269203,-3.476937611897787e-07,-2.994563,1429,0.6666666666666666,0.33071890473365784,0.125,0.010073075,760618.0,0.68,-9.958761e-05,0.0047852956,-2.9993486,123079.0
9.235082e-05,1.0,0.125,76.00010395050049,9757.652365936332,-0.029390546,0.27434185,16.626871,0.009844742,-1.0404999936023765e-05,16.62679,0.0014208055,0.27438277,5.493010756178288e-06,5.68,19.0579147772194,0.029390545561909676,-5.960464477539063e-08,-2.989695,1430,0.6666666666666666,0.33071890473365784,0.125,0.009980482,761162.0,0.68,-8.0543425e-05,0.004322176,-2.9940171,123175.0
8.494376e-05,1.0,0.125,76.05292296409607,9693.4790172385,-0.029398661,0.27434108,16.626648,0.009720527,-1.0558792913191912e-05,16.626583,0.0011819503,0.27437726,4.161479343641379e-06,5.68,18.932576205543945,0.02939866110682488,-3.228584925333659e-07,-2.9854393,1431,0.6666666666666666,0.33071890473365784,0.125,0.009884773,761706.0,0.68,-6.800471e-05,0.0037566572,-2.989196,123271.0
7.931934e-05,1.0,0.125,76.10589814186096,9664.903858790067,-0.02942612,0.27434057,16.626442,0.009598304,-8.920502220159202e-06,16.626385,0.00091958174,0.2743717,2.825834480783366e-06,5.68,18.87676534919935,0.02942612022161484,-4.6566128730773926e-07,-2.9819117,1432,0.6666666666666666,0.33071890473365784,0.125,0.009785259,762250.0,0.68,-5.5395572e-05,0.003073309,-2.9849849,123367.0
