rew_mean_NSN,retstd_NSN,eplen,ups,advstd_NSN,vpredstd_NSN,eprew_recent,retstd_IDN,advstd_IDN,loss,retmean_IDN,n_updates,rew_mean_IDN,vfn_loss,vpredstd_IDN,retmean_NSN,vpredmean_IDN,idn_pg_loss,epcount,best_ext_ret,tcount,ext_reward,eprew,vpredmean_NSN,total_secs,tps,metric,ext_reward_std,advmean_NSN,advmean_IDN
0.005859375,0.16273156,6.81,20.144488043379074,0.15839732,0.021606244,0.043478260869565216,7.2110333,7.2147994,-0.014008291453743977,-16.122704,11,-2.4631696,151.47299067179364,0.18098153,-0.12711321,-0.2566055,-0.014008291453743977,785.0,1.0,5300.0,0.005859375,0.03,-0.1709947,0.6276710033416748,10313.977878210086,2.4631696343421936,0.07632196694612503,0.0438815,-15.866099
0.005859375,0.17720684,7.24,19.891793451455023,0.17315477,0.020637,0.037037037037037035,7.309271,7.3008337,-0.014136706323673327,-16.016006,12,-2.4675665,149.57749048868814,0.20104997,-0.11182527,-0.307145,-0.014136706323673327,866.0,1.0,5911.0,0.005859375,0.03,-0.1598112,0.6779429912567139,10184.598247144972,2.467566668987274,0.07632196694612503,0.04798592,-15.708861
0.005859375,0.12729013,6.87,20.265470990684552,0.124945596,0.02069851,0.043478260869565216,7.225463,7.21129,-0.014381305625041326,-15.80872,13,-2.4213467,144.62003962198892,0.22663513,-0.12232277,-0.37394387,-0.014381305625041326,935.0,1.0,6422.0,0.005859375,0.04,-0.14540038,0.727288007736206,10375.92114723049,2.4213466445604954,0.07632196694612503,0.023077603,-15.434776
0.00390625,0.14315706,7.21,20.172778822522233,0.1409185,0.019687701,0.029411764705882353,7.082317,7.0913105,-0.01430476208527883,-15.7967205,14,-2.3903217,142.27017974853513,0.26137882,-0.09558161,-0.45589378,-0.01430476208527883,1003.0,1.0,6930.0,0.00390625,0.02,-0.13169718,0.7768597602844238,10328.462757131383,2.390321671962738,0.06237781047821045,0.036115568,-15.340826
0.001953125,0.1119208,6.4,19.954442086834067,0.113304354,0.023686659,0.012658227848101266,6.926969,6.9197826,-0.014242178294807678,-15.395323,15,-2.3263593,133.8922913869222,0.26530343,-0.08883244,-0.5285729,-0.014242178294807678,1082.0,1.0,7423.0,0.001953125,0.01,-0.11266087,0.8269739151000977,10216.674348459042,2.3263593514760332,0.04415099322795868,0.02382844,-14.866749
0.005859375,0.14052461,6.25,20.58968430457172,0.1374082,0.027488308,0.04,6.8716626,6.872079,-0.014345518623789147,-15.492289,16,-2.3282337,133.5371208190918,0.30041316,-0.06601472,-0.6243318,-0.014345518623789147,1157.0,1.0,7902.0,0.005859375,0.04,-0.09609664,0.8755419254302979,10541.91836394072,2.3282338380813603,0.07632196694612503,0.03008192,-14.867956
0.0078125,0.2023456,6.25,20.492707880375036,0.1981607,0.03144566,0.05405405405405406,6.7035704,6.688047,-0.01473929733037949,-14.774494,17,-2.2184682,120.96356964111328,0.31852022,-0.022670116,-0.6905792,-0.01473929733037949,1231.0,1.0,8392.0,0.0078125,0.04,-0.08207777,0.924339771270752,10492.266434752019,2.2184681693712873,0.08804240077733995,0.05940766,-14.083914
0.00390625,0.14065833,6.95,19.942961747854408,0.14342912,0.039327756,0.025974025974025976,6.7183113,6.7444587,-0.014451808451364439,-14.920006,18,-2.2195373,121.6523977915446,0.35455278,-0.029199116,-0.80867225,-0.014451808451364439,1308.0,1.0,8913.0,0.00390625,0.04,-0.051681697,0.9744827747344971,10210.796414901457,2.2195374369621272,0.06237781047821045,0.022482581,-14.111334
0.00390625,0.16682678,6.26,19.333757409814606,0.16810247,0.04425113,0.024096385542168676,6.7463,6.726665,-0.014582122365633651,-15.0283985,19,-2.2010057,121.64212735493979,0.37051544,0.013181515,-0.9040549,-0.014582122365633651,1391.0,1.0,9424.0,0.00390625,0.03,-0.027603265,1.0262057781219482,9898.883793825078,2.2010057171185813,0.06237781047821045,0.040784776,-14.124343
0.001953125,0.110709086,6.61,19.64517594600544,0.11658896,0.049190473,0.012658227848101266,6.478736,6.446304,-0.01442798444380363,-14.355633,20,-2.1118991,108.86538441975911,0.40028986,0.015849015,-1.0241618,-0.01442798444380363,1470.0,1.0,9967.0,0.001953125,0.02,-0.00092709425,1.0771088600158691,10058.330084354786,2.111899226903916,0.04415099322795868,0.016776111,-13.331472
