vpredmean_IDN,ups,retstd_NSN,retmean_IDN,advstd_IDN,vpredstd_NSN,advmean_NSN,advmean_IDN,loss,rew_mean_IDN,eplen,vpredmean_NSN,vfn_loss,idn_pg_loss,n_updates,eprew_recent,tps,advstd_NSN,ext_reward,retstd_IDN,epcount,retmean_NSN,rew_mean_NSN,metric,ext_reward_std,total_secs,vpredstd_IDN,eprew,best_ext_ret,tcount
-3.1867425,18.527468935388256,0.20778663,-14.005773,6.142632,0.0417877,0.021685366,-10.819031,2.1107512513796487,-1.7181213,6.24,0.349091,76.38354333241782,-0.00027695981164773537,39,0.06741573033707865,9486.064094918787,0.21515481,0.0078125,6.0812545,3071.0,0.37077636,0.0078125,1.7181212802728019,0.08804240077733995,2.11130690574646,0.44612345,0.06,1.0,19928.0
-3.3704755,18.788569995117296,0.22177018,-14.117574,5.638202,0.04198021,0.046495914,-10.747097,2.0979179938634234,-1.6925635,5.21,0.3553056,72.57246176401773,0.00143809771786133,40,0.045454545454545456,9619.747837500056,0.22882886,0.0078125,5.5935555,3159.0,0.40180153,0.0078125,1.6925634940465293,0.08804240077733995,2.1645307540893555,0.46839392,0.04,1.0,20391.0
-3.611384,18.396877056011228,0.21011464,-14.1727295,5.673386,0.04493606,0.027129287,-10.561346,2.0968834459781647,-1.695337,6.13,0.39212292,70.74490801493327,0.000479835396011671,41,0.06666666666666667,9419.201052677749,0.22025736,0.009765625,5.607285,3249.0,0.41925222,0.009765625,1.695337027311325,0.09833747148513794,2.2188878059387207,0.49669826,0.07,1.0,20941.0
-3.7514758,18.90748445902999,0.28826267,-15.419638,6.4413433,0.046275187,0.08789042,-11.66816,2.2616369326909385,-1.8467916,6.19,0.41157395,87.50460338592528,0.0005058761065204957,42,0.08108108108108109,9680.632043023355,0.29478526,0.015625,6.3697424,3323.0,0.49946433,0.015625,1.8467915256818135,0.12401959300041197,2.2717769145965576,0.52372235,0.07,1.0,21400.0
-4.078586,19.58829271026466,0.16121867,-14.898045,6.060562,0.051868092,0.012316046,-10.819459,2.1528972983360295,-1.7324629,6.23,0.47320873,75.56617991129558,0.0005256036917368557,43,0.05405405405405406,10029.205867655506,0.17266108,0.005859375,5.9776964,3397.0,0.48552477,0.005859375,1.7324629028638205,0.07632196694612503,2.3228278160095215,0.53225553,0.06,1.0,21874.0
-4.3210135,18.324700290098214,0.14402208,-14.631101,5.438817,0.05597323,0.0007826495,-10.310087,2.0418498714764914,-1.6282121,6.75,0.50737345,66.65415445963544,0.0006334915136297558,44,0.04054054054054054,9382.246548530286,0.15895878,0.005859375,5.383614,3471.0,0.5081561,0.005859375,1.6282121042410536,0.07632196694612503,2.37739896774292,0.558182,0.03,1.0,22348.0
-4.6475244,17.980468984438634,0.32357445,-15.64412,5.5838923,0.053660847,0.101337954,-10.996597,2.094026366869609,-1.7124755,6.86,0.51245105,74.63223203023274,0.0011917476852734898,45,0.1038961038961039,9206.00012003258,0.33142278,0.017578125,5.527471,3548.0,0.61378896,0.017578125,1.712475538253784,0.13141207396984098,2.4330148696899414,0.57545114,0.08,1.0,22870.0
-4.9538183,18.50654123959248,0.27401277,-15.097058,5.9436207,0.058404867,0.0559488,-10.14324,2.142087231079737,-1.7163873,6.13,0.57871187,67.71245034535725,-0.0008412031456828135,46,0.08333333333333333,9475.34911467135,0.2831857,0.015625,5.830946,3632.0,0.6346607,0.015625,1.716387331485748,0.12401959300041197,2.4870498180389404,0.5822147,0.09,1.0,23371.0
-5.257764,19.37976315339583,0.25811556,-15.041393,5.261789,0.066585176,0.059313606,-9.783628,1.9413405060768127,-1.5761718,6.04,0.6447654,60.344094594319664,0.00024142147352298354,47,0.08641975308641975,9922.438734538666,0.27050042,0.015625,5.168608,3713.0,0.70407903,0.015625,1.5761717557907104,0.12401959300041197,2.5386500358581543,0.6150619,0.08,1.0,23898.0
-5.5385723,19.68158867804118,0.27333382,-15.793472,5.2104154,0.07082453,0.06689304,-10.254901,1.999439269304275,-1.6203432,6.17,0.6956978,64.64910634358725,0.001635486880938215,48,0.11428571428571428,10076.973403157084,0.28655544,0.017578125,5.1528788,3783.0,0.76259077,0.017578125,1.620343267917633,0.13141207396984098,2.58945894241333,0.6454541,0.11,1.0,24336.0
