metric,ups,nsn_loss,epcount,retstd,vpredstd,n_updates,eplen,advstd,vfn_loss,eprew_recent,vpredmean,idn_pg_loss,rew_std_ext,tcount,total_secs,p_below_line,advmean,metricmean,rew_std_int,idn_loss,retmean,tps,rew_mean_ext,eprew,metricstd,best_ext_ret,rew_mean_int
0.0,21.817720281102563,3.40754634141922,662.0,0.07108322,0.085371755,30,20.21,0.10390615,0.006329147727228701,0.0,2.1524258,-0.08068251392493646,0.0,14756.0,1.4663159847259521,1.0,0.080502585,3.421307,0.95782095,-0.08068251392493646,2.2329283,11170.672783924512,0.0,0.0,0.95782095,0.0,3.421307
0.0,21.90157017759142,3.3565544287363682,682.0,0.06663375,0.08778418,31,21.53,0.10536419,0.0067599484852204714,0.0,2.2366116,-0.0857547726482153,0.0,15379.0,1.511974811553955,1.0,0.085596345,3.3690057,0.85458726,-0.0857547726482153,2.322208,11213.603930926807,0.0,0.0,0.85458726,0.0,3.3690057
0.0,21.926988524975823,3.2140900293986006,710.0,0.06635829,0.062454905,32,23.71,0.07568202,0.003184578866542628,0.0,2.346857,-0.053895668437083565,0.0,16114.0,1.5575807094573975,1.0,0.053722687,3.2287421,0.85738516,-0.053895668437083565,2.4005797,11226.618124787621,0.0,0.0,0.85738516,0.0,3.2287421
0.0,22.158202536861623,3.2481642762819924,722.0,0.07645783,0.063704506,33,24.47,0.09300268,0.004661410435801373,0.0,2.4110727,-0.05248814262449741,0.0,16437.0,1.6027107238769531,1.0,0.052343577,3.2605271,0.91682726,-0.05248814262449741,2.463416,11344.999698873151,0.0,0.0,0.91682726,0.0,3.2605271
0.0,21.824986080685196,3.2177038788795476,746.0,0.06473618,0.06519481,34,26.2,0.07906784,0.0033648852064895136,0.0,2.4688764,-0.05084008847673734,0.0,17082.0,1.6485297679901123,1.0,0.050763298,3.2316365,0.93720543,-0.05084008847673734,2.51964,11174.39287331082,0.0,0.0,0.93720543,0.0,3.2316365
0.0,21.65629195150664,3.104625125726064,765.0,0.08372474,0.063344456,35,26.06,0.086142056,0.0036636067282718923,0.0,2.530067,-0.02411157210978369,0.0,17489.0,1.6947057247161865,1.0,0.02395302,3.1156769,0.90264904,-0.02411157210978369,2.55402,11088.021479171399,0.0,0.0,0.90264904,0.0,3.1156769
0.0,21.915417010648635,3.0920769572257996,792.0,0.065634795,0.05948581,36,24.73,0.08008606,0.003365023672813549,0.0,2.5648441,-0.03989357470224301,0.0,18145.0,1.7403357028961182,1.0,0.039719187,3.1024847,0.92818993,-0.03989357470224301,2.6045632,11220.693509452101,0.0,0.0,0.92818993,0.0,3.1024847
0.0,21.963961605127693,3.176753044128418,812.0,0.07566873,0.06455898,37,23.65,0.06744402,0.0023421043879352506,0.0,2.6044831,-0.027745196673398215,0.0,18527.0,1.7858648300170898,1.0,0.027562898,3.1860032,0.92836154,-0.027745196673398215,2.632046,11245.548341825379,0.0,0.0,0.92836154,0.0,3.1860032
0.0,21.89676792883283,3.3143294652303057,834.0,0.06947801,0.093947425,38,23.28,0.10025416,0.005330036685336382,0.0,2.6358666,-0.05325955462952455,0.0,19088.0,1.831533670425415,1.0,0.052954808,3.3258617,0.99262017,-0.05325955462952455,2.6888213,11211.145179562409,0.0,0.0,0.99262017,0.0,3.3258617
0.0,22.008332546254028,3.4637187123298645,854.0,0.121938474,0.06398456,39,23.92,0.15247475,0.012089928757632151,0.1,2.7102356,-0.06851647421717644,0.044150993,19625.0,1.8769710063934326,1.0,0.06832271,3.4766855,0.9185476,-0.06851647421717644,2.7785587,11268.266263682062,0.001953125,0.02,0.9185476,1.0,3.4766855
0.0,21.56299289511295,3.288611272970836,872.0,0.13162057,0.05850037,40,24.21,0.15299708,0.011793569273625812,0.05555555555555555,2.8001978,-0.05492934250893692,0.044150993,20047.0,1.923346757888794,1.0,0.05464119,3.301634,0.99490553,-0.05492934250893692,2.854839,11040.25236229783,0.001953125,0.03,0.99490553,1.0,3.301634
0.0,22.062279077596365,3.4972684582074476,885.0,0.06626305,0.056702167,41,24.43,0.07018782,0.002617980382638052,0.0,2.864725,-0.046491229596237346,0.0,20392.0,1.9686729907989502,1.0,0.046187066,3.5112243,0.9382522,-0.046491229596237346,2.9109123,11295.886887729339,0.0,0.03,0.9382522,1.0,3.5112243
0.0,22.080513805901397,3.4371426502863565,901.0,0.071063034,0.065484926,42,25.62,0.07779643,0.00320271739231733,0.0,2.912527,-0.05361807284255822,0.0,20873.0,2.0139617919921875,1.0,0.053375978,3.4502215,1.0192614,-0.05361807284255822,2.965903,11305.223068621515,0.0,0.03,1.0192614,1.0,3.4502215
0.0,21.837826580446304,3.7717476288477574,911.0,0.07832774,0.056480844,43,27.76,0.061653964,0.0020044504587228102,0.0,3.0093946,-0.044706083213289574,0.0,21280.0,2.059753894805908,1.0,0.04448067,3.7891433,0.8444623,-0.044706083213289574,3.0538752,11180.967209188508,0.0,0.03,0.8444623,1.0,3.7891433
0.0,22.125474101778245,3.6165610551834106,925.0,0.07699796,0.07036191,44,30.24,0.06589855,0.002418553524573023,0.0,3.0459619,-0.04492877268542846,0.0,21826.0,2.1049506664276123,1.0,0.04475145,3.6308355,0.9408786,-0.04492877268542846,3.090713,11328.242740110461,0.0,0.03,0.9408786,1.0,3.6308355
