total_secs,retmean_NSN,vpredmean_NSN,advstd_IDN,retmean_IDN,epcount,ups,ext_reward_std,ext_reward,vpredstd_IDN,advmean_NSN,eprew,rew_mean_NSN,vfn_loss,metric,advstd_NSN,vpredmean_IDN,rew_mean_IDN,retstd_NSN,eplen,tcount,best_ext_ret,tps,n_updates,eprew_recent,idn_pg_loss,vpredstd_NSN,loss,advmean_IDN,retstd_IDN
52.179100036621094,16.60114,16.602627,0.712311,-2.361048,100244.0,20.198328004006626,0.35553312301635737,0.1484375,0.09992863,-0.001484951,0.81,0.1484375,0.2541404217481613,0.027499345364049077,0.020294866,-2.34494,-0.02749935,0.30322757,5.62,562828.0,1.0,10341.543938051393,1048,0.8,0.03245153153936069,0.31536135,0.027590752346441153,-0.016108193,0.70923495
52.228718996047974,16.623386,16.627504,1.1601195,-2.4375389,100341.0,20.153586684413096,0.37033227086067205,0.1640625,0.09768183,-0.0041174605,0.87,0.1640625,0.6764821214601399,0.029789847438223657,0.040450506,-2.3592532,-0.029789848,0.30685666,5.72,563382.0,1.0,10318.636382419505,1049,0.865979381443299,0.02007704445471366,0.3106287,0.02836851465205352,-0.078285605,1.1568493
52.27810001373291,16.614388,16.616661,0.5599756,-2.3484263,100436.0,20.25069645952327,0.3574538826942444,0.150390625,0.09425739,-0.002270159,0.8,0.15039062,0.157880140390868,0.019550548090289038,0.01891164,-2.3860369,-0.019550549,0.30327395,5.58,563914.0,1.0,10368.356587275914,1050,0.8,0.02620492565135161,0.30791998,0.019524954104175162,0.03761039,0.55525744
52.32784724235535,16.636024,16.63126,0.1098878,-2.231767,100531.0,20.10162229517625,0.37033227086067205,0.1640625,0.09093868,0.004762319,0.89,0.1640625,0.01585375408952435,0.003950085025280714,0.015487316,-2.3927555,-0.003950085,0.3022415,5.77,564461.0,1.0,10292.03061513024,1051,0.8842105263157894,0.0,0.30950272,0.003411386938144764,0.16098881,0.060242217
52.37743520736694,16.593678,16.58902,0.51743674,-2.2836418,100627.0,20.16618346338954,0.35553312301635737,0.1484375,0.08890817,0.004655919,0.8,0.1484375,0.13460861068839827,0.011785411237118144,0.022051973,-2.3309035,-0.011785412,0.30326807,5.61,564998.0,1.0,10325.085933255445,1052,0.7916666666666666,0.014481911746164162,0.31320712,0.011366287867228193,0.047261845,0.51107615
52.426350116729736,16.628752,16.62173,0.50841427,-2.2055855,100723.0,20.443664580530697,0.3738385438919068,0.16796875000000003,0.087066256,0.0070201103,0.9,0.16796875,0.13157607397685447,0.011481541732791811,0.02090799,-2.2828486,-0.011481543,0.30305654,5.79,565553.0,1.0,10467.156265231717,1053,0.8958333333333334,0.014706927351653576,0.31392393,0.011370164875794822,0.07726312,0.5026624
52.475553035736084,16.591398,16.587849,0.10895609,-2.111669,100819.0,20.323997441513384,0.3516275882720947,0.14453125,0.085710086,0.0035503402,0.78,0.14453125,0.011474249108384052,0.003518353022324542,0.015718298,-2.2397115,-0.0035183532,0.30341396,5.56,566085.0,1.0,10405.886690054853,1054,0.7708333333333334,0.0,0.31140396,0.00318383456518253,0.12804249,0.061964545
52.525043964385986,16.619751,16.609829,0.10050452,-2.0305455,100915.0,20.20572309471047,0.3755641579627991,0.169921875,0.08286439,0.009922615,0.91,0.16992188,0.012244822767873604,0.003077945652573059,0.016988447,-2.1829684,-0.0030779457,0.30383185,5.82,566643.0,1.0,10345.330224491761,1055,0.90625,0.0,0.3121734,0.002743920311331749,0.15242277,0.054746736
52.57429599761963,16.575302,16.569403,0.10337806,-1.9802742,101011.0,20.303730310100786,0.34964209794998163,0.142578125,0.081089124,0.005898931,0.77,0.14257812,0.009200225234962998,0.0030637984552110238,0.019766502,-2.1002584,-0.0030637984,0.30346495,5.54,567173.0,1.0,10395.509918771602,1056,0.7604166666666666,0.0,0.31153396,0.002763602416962385,0.11998431,0.058994867
52.62357711791992,16.610247,16.601288,0.095693834,-1.8840184,101107.0,20.29174649250121,0.3755641579627991,0.169921875,0.07881582,0.00895679,0.91,0.16992188,0.01069464161992073,0.0025997796134712794,0.017866695,-2.0264306,-0.0025997795,0.30382663,5.82,567731.0,1.0,10389.37420416062,1057,0.90625,0.0,0.31301644,0.002345468383282422,0.14241226,0.051661815
52.672784090042114,16.567135,16.561768,0.09844167,-1.8346477,101203.0,20.32232337963748,0.34964209794998163,0.142578125,0.0778102,0.005368205,0.77,0.14257812,0.008088835010615488,0.0026332005897226436,0.01651832,-1.945699,-0.0026332005,0.303435,5.54,568261.0,1.0,10405.02957037439,1058,0.7604166666666666,0.0,0.31057543,0.00240238228191932,0.11105114,0.055518117
52.72214698791504,16.603502,16.59454,0.09118016,-1.7440519,101299.0,20.25812995368112,0.3755641579627991,0.169921875,0.0753154,0.008962046,0.91,0.16992188,0.009396083148506781,0.002234848759447535,0.015817592,-1.8759305,-0.0022348487,0.30385494,5.82,568819.0,1.0,10372.162536284734,1059,0.90625,0.0,0.3115804,0.0020405986967186136,0.13187876,0.048517972
52.7725191116333,16.56255,16.557014,0.093185864,-1.6980634,101395.0,19.852250137261212,0.34964209794998163,0.142578125,0.07428281,0.0055371025,0.77,0.14257812,0.007037956345205506,0.002313481061719358,0.015676118,-1.7999363,-0.0023134812,0.30341604,5.54,569349.0,1.0,10164.35207027774,1060,0.7604166666666666,0.0,0.30988792,0.002129972136269013,0.10187307,0.05200301
