rew_std_ext,advmean,nsn_loss,epcount,ups,advstd,vpredstd,rew_mean_ext,metricstd,tcount,vfn_loss,tps,eprew_recent,rew_std_int,idn_loss,eplen,eprew,total_secs,n_updates,best_ext_ret,retmean,metric,rew_mean_int,idn_pg_loss,metricmean,retstd,vpredmean
0.06237781,0.18542607,2.649117867151896,644.0,22.291630349284635,0.15228784,0.029750692,0.00390625,0.24301246,5470.0,0.02651592809706926,11413.314738833733,0.034482758620689655,0.24301246,-0.1868495854238669,9.0,0.02,0.5777719020843506,11,1.0,0.15830827,0.0,2.6585066,-0.1854655233522256,2.6585066,0.14725068,-0.0271178
0.0,0.1733546,2.6333330670992536,706.0,23.21463401134634,0.08842929,0.033115614,0.0,0.22727406,5926.0,0.016729845587785046,11885.892613809327,0.0,0.22727406,-0.17477758725484213,7.86,0.01,0.6208481788635254,12,1.0,0.175881,0.0,2.6449718,-0.17339365556836128,2.6449718,0.08060243,0.0025263876
0.0,0.17176627,2.592548886934916,768.0,22.58864079447658,0.08610588,0.035468023,0.0,0.22942255,6445.0,0.016112979346265394,11565.384086772008,0.0,0.22942255,-0.17315293475985524,7.92,0.0,0.6651182174682617,13,1.0,0.20437145,0.0,2.604961,-0.17176910862326625,2.604961,0.077734135,0.032605186
0.06237781,0.19937634,2.6050362388292942,832.0,22.483537925489145,0.18925318,0.040744983,0.00390625,0.2340585,7054.0,0.03502810513600707,11511.571417850442,0.03125,0.2340585,-0.20079884429772696,9.15,0.02,0.7095952033996582,14,1.0,0.26317105,0.0,2.616412,-0.19941492130359015,2.616412,0.18083677,0.063794695
0.0,0.1608966,2.5466241041819258,892.0,22.540811281411898,0.08574478,0.046857957,0.0,0.23265058,7507.0,0.014252270882328352,11540.895376082892,0.0,0.23265058,-0.162303626537323,8.07,0.02,0.7539591789245605,15,1.0,0.25966644,0.0,2.5595646,-0.16091953838864959,2.5595646,0.07929083,0.09876987
0.0,0.15142661,2.5271146297454834,950.0,22.80975843203794,0.09689183,0.054053564,0.0,0.25026917,8017.0,0.014065015556601185,11678.596317203424,0.0,0.25026917,-0.15283656120300293,8.18,0.0,0.7978000640869141,16,1.0,0.2830072,0.0,2.53991,-0.15145228182276094,2.53991,0.08259706,0.13158059
0.044150993,0.16936299,2.489428997039795,1021.0,22.498130655638338,0.15589304,0.060127717,0.001953125,0.26329833,8565.0,0.024091561557725072,11519.042895686829,0.014084507042253521,0.26329833,-0.17080516864856085,7.77,0.01,0.8422482013702393,17,1.0,0.33798727,0.0,2.5033412,-0.16942079986135167,2.5033412,0.13716237,0.16862428
0.0,0.1553255,2.450323979059855,1082.0,23.392921281888253,0.09773675,0.06560092,0.0,0.25357935,9051.0,0.014413349563255904,11977.175696326785,0.0,0.25357935,-0.15671726316213608,7.95,0.01,0.8849961757659912,18,1.0,0.35969096,0.0,2.4652267,-0.15533294280370075,2.4652267,0.08033703,0.20436549
0.044150993,0.1612131,2.4238721132278442,1132.0,22.43519192092088,0.16002083,0.072524294,0.001953125,0.29335016,9511.0,0.02315765495101611,11486.81826351149,0.02,0.29335016,-0.16263580818971,8.59,0.01,0.9295690059661865,19,1.0,0.40366563,0.0,2.4387069,-0.16125139842430752,2.4387069,0.13939738,0.24245253
0.044150993,0.1630627,2.421521286169688,1187.0,22.58864079447658,0.16027248,0.08142436,0.001953125,0.30951425,10037.0,0.023424007464200255,11565.384086772008,0.01818181818181818,0.30951425,-0.1645031782488028,9.49,0.02,0.9738390445709229,20,1.0,0.45085835,0.0,2.4370763,-0.16311869397759435,2.4370763,0.13303035,0.28779566
